,dataset,participant,muscle,test,mvc
124,Romain2017,1,subscapularis,test 08,1.7022780838066664e-05
125,Romain2017,1,subscapularis,test 09,3.1385448312382746e-05
126,Romain2017,1,subscapularis,test 10,1.8985324110187265e-05
127,Romain2017,1,subscapularis,test 13,5.132005929773045e-06
128,Romain2017,2,upper trapezius,test 00,0.000565521902094933
129,Romain2017,2,upper trapezius,test 03,0.0006488370052518417
130,Romain2017,2,upper trapezius,test 04,0.0006967967122634128
131,Romain2017,2,upper trapezius,test 05,0.0003264845365564473
132,Romain2017,2,upper trapezius,test 08,0.00038452284417708093
133,Romain2017,2,upper trapezius,test 09,7.290050874343052e-05
134,Romain2017,2,upper trapezius,test 10,5.975385300579401e-06
135,Romain2017,2,upper trapezius,test 13,0.00042130024283993685
136,Romain2017,2,anterior deltoid,test 00,0.00041808747204532447
137,Romain2017,2,anterior deltoid,test 03,0.0006422121501006896
138,Romain2017,2,anterior deltoid,test 04,0.0004035826851569549
139,Romain2017,2,anterior deltoid,test 05,2.1728531298635833e-05
140,Romain2017,2,anterior deltoid,test 08,0.00013615831750627663
141,Romain2017,2,anterior deltoid,test 09,3.501969869424124e-05
142,Romain2017,2,anterior deltoid,test 10,9.959907424219618e-06
143,Romain2017,2,anterior deltoid,test 13,0.00040114989604167825
144,Romain2017,2,middle deltoid,test 00,0.0001902064860090129
145,Romain2017,2,middle deltoid,test 03,0.0001994738268608439
146,Romain2017,2,middle deltoid,test 04,0.00022082665324571726
147,Romain2017,2,middle deltoid,test 05,9.914962552614008e-05
148,Romain2017,2,middle deltoid,test 08,0.00017893841217856584
149,Romain2017,2,middle deltoid,test 09,7.405824221163893e-05
150,Romain2017,2,middle deltoid,test 10,1.0187856205126864e-05
151,Romain2017,2,middle deltoid,test 13,2.2474396036411018e-05
152,Romain2017,2,posterior deltoid,test 00,0.00012059854769650576
153,Romain2017,2,posterior deltoid,test 03,7.400587800280962e-05
154,Romain2017,2,posterior deltoid,test 04,0.00023905370596134985
155,Romain2017,2,posterior deltoid,test 05,0.0002692856617748584
156,Romain2017,2,posterior deltoid,test 08,0.0003229297250516975
157,Romain2017,2,posterior deltoid,test 09,0.00031623548889724294
158,Romain2017,2,posterior deltoid,test 10,9.32878286812819e-06
159,Romain2017,2,posterior deltoid,test 13,1.5300673835195255e-05
160,Romain2017,2,pectoralis major,test 00,9.389736926231676e-06
161,Romain2017,2,pectoralis major,test 03,1.5827846183905934e-05
162,Romain2017,2,pectoralis major,test 04,9.377722317354138e-06
163,Romain2017,2,pectoralis major,test 05,6.737248336891073e-06
164,Romain2017,2,pectoralis major,test 08,5.866455474842969e-06
165,Romain2017,2,pectoralis major,test 09,5.452313164372668e-06
166,Romain2017,2,pectoralis major,test 10,0.00011164211156618523
167,Romain2017,2,pectoralis major,test 13,0.00031200401722412474
168,Romain2017,2,supraspinatus,test 00,0.00018673868771360065
169,Romain2017,2,supraspinatus,test 03,0.00023256432835211017
170,Romain2017,2,supraspinatus,test 04,0.00017834297027722592
171,Romain2017,2,supraspinatus,test 05,0.00024391240328593377
172,Romain2017,2,supraspinatus,test 08,0.0002526014459815895
173,Romain2017,2,supraspinatus,test 09,0.00022650272744127758
174,Romain2017,2,supraspinatus,test 10,1.0425657137279458e-05
175,Romain2017,2,supraspinatus,test 13,0.00013517714846758528
176,Romain2017,2,infraspinatus,test 00,8.789373711761268e-05
177,Romain2017,2,infraspinatus,test 03,0.0001843809769735978
178,Romain2017,2,infraspinatus,test 04,9.39325032471159e-05
179,Romain2017,2,infraspinatus,test 05,0.00014425762180344384
180,Romain2017,2,infraspinatus,test 08,0.00018300210478843664
181,Romain2017,2,infraspinatus,test 09,0.0003172494407716534
182,Romain2017,2,infraspinatus,test 10,3.661443311369877e-05
183,Romain2017,2,infraspinatus,test 13,5.442866898172993e-05
184,Romain2017,2,subscapularis,test 00,2.9391175600839832e-05
185,Romain2017,2,subscapularis,test 03,4.767092956512043e-05
186,Romain2017,2,subscapularis,test 04,4.49687106401376e-05
187,Romain2017,2,subscapularis,test 05,0.0003592182110234624
188,Romain2017,2,subscapularis,test 08,2.9962373783552326e-05
189,Romain2017,2,subscapularis,test 09,5.5824530656004835e-05
190,Romain2017,2,subscapularis,test 10,2.9845391449191387e-05
191,Romain2017,2,subscapularis,test 13,2.9088694832622926e-05
192,Romain2017,3,upper trapezius,test 00,0.0003888316796076772
193,Romain2017,3,upper trapezius,test 03,0.0002974713360629568
194,Romain2017,3,upper trapezius,test 04,0.00034302042031554504
195,Romain2017,3,upper trapezius,test 05,2.602464351734212e-05
196,Romain2017,3,upper trapezius,test 08,0.0001269657673269696
197,Romain2017,3,upper trapezius,test 09,8.392180091209473e-05
198,Romain2017,3,upper trapezius,test 10,1.6369735474001022e-05
199,Romain2017,3,upper trapezius,test 13,0.00011517658319702542
200,Romain2017,3,anterior deltoid,test 00,0.000301589604957357
201,Romain2017,3,anterior deltoid,test 03,0.00021695921022548933
202,Romain2017,3,anterior deltoid,test 04,0.0002217889405830141
203,Romain2017,3,anterior deltoid,test 05,1.0649489838117289e-05
204,Romain2017,3,anterior deltoid,test 08,0.00013226139744510935
205,Romain2017,3,anterior deltoid,test 09,0.00017208708047794873
206,Romain2017,3,anterior deltoid,test 10,2.2656162308659586e-05
207,Romain2017,3,anterior deltoid,test 13,0.00016144819662101023
208,Romain2017,3,middle deltoid,test 00,0.0003577859649556615
209,Romain2017,3,middle deltoid,test 03,0.00025448079524299826
210,Romain2017,3,middle deltoid,test 04,0.0003434767032784316
211,Romain2017,3,middle deltoid,test 05,3.4670941008623574e-05
212,Romain2017,3,middle deltoid,test 08,0.0004158162008575967
213,Romain2017,3,middle deltoid,test 09,0.00020862363799268539
214,Romain2017,3,middle deltoid,test 10,4.806060227269501e-05
215,Romain2017,3,middle deltoid,test 13,9.470310030066196e-05
216,Romain2017,3,posterior deltoid,test 00,8.322594815328908e-05
217,Romain2017,3,posterior deltoid,test 03,5.505886096111857e-05
218,Romain2017,3,posterior deltoid,test 04,0.00012342600836622416
219,Romain2017,3,posterior deltoid,test 05,0.00021646741588296297
220,Romain2017,3,posterior deltoid,test 08,0.00024804979796389523
221,Romain2017,3,posterior deltoid,test 09,0.00013246477868854333
222,Romain2017,3,posterior deltoid,test 10,0.00013245410019968815
223,Romain2017,3,posterior deltoid,test 13,1.0676988409417836e-05
224,Romain2017,3,pectoralis major,test 00,1.9888865057659887e-05
225,Romain2017,3,pectoralis major,test 03,0.0001322630361386595
226,Romain2017,3,pectoralis major,test 04,1.4465216273617274e-05
227,Romain2017,3,pectoralis major,test 05,1.2700430624585058e-05
228,Romain2017,3,pectoralis major,test 08,1.3079180546766285e-05
229,Romain2017,3,pectoralis major,test 09,1.3598785222250254e-05
230,Romain2017,3,pectoralis major,test 10,2.7033117230150382e-05
231,Romain2017,3,pectoralis major,test 13,0.00015308414865543554
232,Romain2017,3,supraspinatus,test 00,0.001164482663749424
233,Romain2017,3,supraspinatus,test 03,0.0006096636408389254
234,Romain2017,3,supraspinatus,test 04,0.001121192476965515
235,Romain2017,3,supraspinatus,test 05,0.0006967074118611661
236,Romain2017,3,supraspinatus,test 08,0.0008404996384171206
237,Romain2017,3,supraspinatus,test 09,0.0006378713424885762
238,Romain2017,3,supraspinatus,test 10,0.00023203173643750308
239,Romain2017,3,supraspinatus,test 13,0.00041125025067471427
240,Romain2017,3,infraspinatus,test 00,0.00016400549147428106
241,Romain2017,3,infraspinatus,test 03,9.551541129589381e-05
242,Romain2017,3,infraspinatus,test 04,0.0001646979456426508
243,Romain2017,3,infraspinatus,test 05,0.00012110787602372232
244,Romain2017,3,infraspinatus,test 08,0.0002207612044804255
245,Romain2017,3,infraspinatus,test 09,0.00011031173031762192
246,Romain2017,3,infraspinatus,test 10,0.00045659057513895875
247,Romain2017,3,infraspinatus,test 13,0.00021394681711220303
248,Romain2017,3,subscapularis,test 00,0.00014807830068743624
249,Romain2017,3,subscapularis,test 03,0.00017440960063519633
250,Romain2017,3,subscapularis,test 04,0.00016455486104575292
251,Romain2017,3,subscapularis,test 05,0.0008247650790036195
252,Romain2017,3,subscapularis,test 08,0.000177189156639003
253,Romain2017,3,subscapularis,test 09,0.00013485728382727166
254,Romain2017,3,subscapularis,test 10,0.0006500742342788852
255,Romain2017,3,subscapularis,test 13,0.00017962177546435994
256,Romain2017,4,upper trapezius,test 00,0.0004522395193722035
257,Romain2017,4,upper trapezius,test 03,0.0004306822792521556
258,Romain2017,4,upper trapezius,test 04,0.00028914360369709747
259,Romain2017,4,upper trapezius,test 05,6.418999436138231e-05
260,Romain2017,4,upper trapezius,test 08,0.0002949395328752912
261,Romain2017,4,upper trapezius,test 09,3.7688667504442625e-05
262,Romain2017,4,upper trapezius,test 10,6.521153002690656e-06
263,Romain2017,4,upper trapezius,test 13,0.00012075476586872249
264,Romain2017,4,anterior deltoid,test 00,0.00016842576843479967
265,Romain2017,4,anterior deltoid,test 03,0.0002478445052212261
266,Romain2017,4,anterior deltoid,test 04,0.0001321022904512859
267,Romain2017,4,anterior deltoid,test 05,2.3536367640167925e-05
268,Romain2017,4,anterior deltoid,test 08,0.00010779830016354178
269,Romain2017,4,anterior deltoid,test 09,5.036907132505725e-05
270,Romain2017,4,anterior deltoid,test 10,5.569010005357056e-06
271,Romain2017,4,anterior deltoid,test 13,0.00019503464592334394
272,Romain2017,4,middle deltoid,test 00,0.00015134287025695596
273,Romain2017,4,middle deltoid,test 03,0.00018489673955171307
274,Romain2017,4,middle deltoid,test 04,0.0001670150873752542
275,Romain2017,4,middle deltoid,test 05,0.00010019146797676683
276,Romain2017,4,middle deltoid,test 08,9.61741572854279e-05
277,Romain2017,4,middle deltoid,test 09,4.593941258261309e-05
278,Romain2017,4,middle deltoid,test 10,5.770406070656987e-06
279,Romain2017,4,middle deltoid,test 13,2.1188665648007994e-05
280,Romain2017,4,posterior deltoid,test 00,3.905614347547547e-05
281,Romain2017,4,posterior deltoid,test 03,6.792033610403608e-05
282,Romain2017,4,posterior deltoid,test 04,6.263744485124783e-05
283,Romain2017,4,posterior deltoid,test 05,0.00014353365604901264
284,Romain2017,4,posterior deltoid,test 08,5.7626004537704326e-05
285,Romain2017,4,posterior deltoid,test 09,9.283924792265926e-05
286,Romain2017,4,posterior deltoid,test 10,1.241866261982569e-05
287,Romain2017,4,posterior deltoid,test 13,7.3544460218275396e-06
288,Romain2017,4,pectoralis major,test 00,1.3079026004880772e-05
289,Romain2017,4,pectoralis major,test 03,1.8018745060486305e-05
290,Romain2017,4,pectoralis major,test 04,7.2319451385495975e-06
291,Romain2017,4,pectoralis major,test 05,9.336114380929965e-06
292,Romain2017,4,pectoralis major,test 08,6.602570856832445e-06
293,Romain2017,4,pectoralis major,test 09,6.027673981888247e-06
294,Romain2017,4,pectoralis major,test 10,3.291100817256097e-05
295,Romain2017,4,pectoralis major,test 13,0.0001331764502088969
296,Romain2017,4,supraspinatus,test 00,0.00036492291002213556
297,Romain2017,4,supraspinatus,test 03,0.0007273522179142064
298,Romain2017,4,supraspinatus,test 04,0.0007090134671788743
299,Romain2017,4,supraspinatus,test 05,0.00043049555759207747
300,Romain2017,4,supraspinatus,test 08,0.0003501807516794776
301,Romain2017,4,supraspinatus,test 09,0.0002892877094620207
302,Romain2017,4,supraspinatus,test 10,7.614585471370332e-05
303,Romain2017,4,supraspinatus,test 13,0.00013123049264173787
304,Romain2017,4,infraspinatus,test 00,1.2825799232332161e-05
305,Romain2017,4,infraspinatus,test 03,2.9993452918899877e-05
306,Romain2017,4,infraspinatus,test 04,2.066481135817289e-05
307,Romain2017,4,infraspinatus,test 05,0.00010731679770303712
308,Romain2017,4,infraspinatus,test 08,1.3226150808310284e-05
309,Romain2017,4,infraspinatus,test 09,3.8880445001774796e-05
310,Romain2017,4,infraspinatus,test 10,5.499601630961894e-06
311,Romain2017,4,infraspinatus,test 13,8.59246523729585e-06
312,Romain2017,4,subscapularis,test 00,1.4979697830333164e-05
313,Romain2017,4,subscapularis,test 03,1.598925999602305e-05
314,Romain2017,4,subscapularis,test 04,1.9726537797592118e-05
315,Romain2017,4,subscapularis,test 05,6.462129961382312e-05
316,Romain2017,4,subscapularis,test 08,2.702435027481009e-05
317,Romain2017,4,subscapularis,test 09,3.9241249953198865e-05
318,Romain2017,4,subscapularis,test 10,6.476788145577257e-06
319,Romain2017,4,subscapularis,test 13,6.248055595037002e-06
320,Romain2017,5,upper trapezius,test 00,0.0002885657068232667
321,Romain2017,5,upper trapezius,test 03,0.00027120524157952706
322,Romain2017,5,upper trapezius,test 04,0.0002627684257076365
323,Romain2017,5,upper trapezius,test 05,1.9753146725538575e-05
324,Romain2017,5,upper trapezius,test 08,7.819703366795422e-05
325,Romain2017,5,upper trapezius,test 09,1.4279916727983912e-05
326,Romain2017,5,upper trapezius,test 10,1.8621568717833464e-05
327,Romain2017,5,upper trapezius,test 13,0.0001334045017312068
328,Romain2017,5,anterior deltoid,test 00,0.0001495248918117306
329,Romain2017,5,anterior deltoid,test 03,0.00023911188768969922
330,Romain2017,5,anterior deltoid,test 04,0.00017317865348685468
331,Romain2017,5,anterior deltoid,test 05,6.459148555095698e-06
332,Romain2017,5,anterior deltoid,test 08,3.77502617729964e-05
333,Romain2017,5,anterior deltoid,test 09,2.754707323423731e-05
334,Romain2017,5,anterior deltoid,test 10,9.289260236426093e-06
335,Romain2017,5,anterior deltoid,test 13,0.00016117711273521762
336,Romain2017,5,middle deltoid,test 00,9.314262499196845e-05
337,Romain2017,5,middle deltoid,test 03,0.00010539632366888986
338,Romain2017,5,middle deltoid,test 04,8.872341906651774e-05
339,Romain2017,5,middle deltoid,test 05,1.4806277130727898e-05
340,Romain2017,5,middle deltoid,test 08,5.94009586665251e-05
341,Romain2017,5,middle deltoid,test 09,3.890488218485796e-05
342,Romain2017,5,middle deltoid,test 10,3.0499827073971973e-05
343,Romain2017,5,middle deltoid,test 13,2.3954098178326916e-05
344,Romain2017,5,posterior deltoid,test 00,9.780695813009874e-05
345,Romain2017,5,posterior deltoid,test 03,9.151717606666919e-05
346,Romain2017,5,posterior deltoid,test 04,8.617688303956752e-05
347,Romain2017,5,posterior deltoid,test 05,7.068905787492934e-05
348,Romain2017,5,posterior deltoid,test 08,5.911998660088991e-05
349,Romain2017,5,posterior deltoid,test 09,5.989011785819083e-05
350,Romain2017,5,posterior deltoid,test 10,6.612162957867064e-05
351,Romain2017,5,posterior deltoid,test 13,1.5180041013480342e-05
352,Romain2017,5,pectoralis major,test 00,5.5311037988662164e-06
353,Romain2017,5,pectoralis major,test 03,1.1798900342857346e-05
354,Romain2017,5,pectoralis major,test 04,5.931804358861603e-06
355,Romain2017,5,pectoralis major,test 05,8.836455689777872e-06
356,Romain2017,5,pectoralis major,test 08,3.994620055202809e-06
357,Romain2017,5,pectoralis major,test 09,4.032292458960646e-06
358,Romain2017,5,pectoralis major,test 10,9.88928480072005e-06
359,Romain2017,5,pectoralis major,test 13,7.409840538527887e-05
360,Romain2017,5,supraspinatus,test 00,0.0008390232392740329
361,Romain2017,5,supraspinatus,test 03,0.0010553371483516209
362,Romain2017,5,supraspinatus,test 04,0.0008482504363752021
363,Romain2017,5,supraspinatus,test 05,0.0005731559580336528
364,Romain2017,5,supraspinatus,test 08,0.000684858067444733
365,Romain2017,5,supraspinatus,test 09,0.0005282322239349767
366,Romain2017,5,supraspinatus,test 10,0.0002194841301648409
367,Romain2017,5,supraspinatus,test 13,0.00021094068276572187
368,Romain2017,5,infraspinatus,test 00,0.0001892253160709867
369,Romain2017,5,infraspinatus,test 03,0.0005517908771153535
