,dataset,participant,muscle,test 00,test 01,test 02,test 03,test 04,test 05,test 06,test 07,test 08,test 09,test 10,test 11,test 12,test 13,test 14,test 15
418,Landry2015_1,41,posterior deltoid,0.04620050960551926,,0.09860756817079573,0.02942111764383009,0.05341770216911023,0.18654546811835185,,,0.05894782476202953,0.04247127207894672,0.020786405344094695,,,,0.08166195140885178,
419,Landry2015_1,41,serratus anterior,0.05641776055519947,,0.009104065241834476,0.0410188880716682,0.025653711170983765,0.007766605829002697,,,0.02525336083161575,0.014259302377881382,0.006627293058437188,,,,0.04990023814071492,
420,Landry2015_1,41,subscapularis,0.00988928267894314,,0.01958214758599749,0.005551504467125087,0.018265757039791095,0.018312388397262003,,,0.004868781476233713,0.006481801810684074,0.05677871716306351,,,,0.007463354923133326,
421,Landry2015_1,41,supraspinatus,0.15955629101736796,,0.2778577281362506,0.0707248378561938,0.1260485085903298,0.1378565670534024,,,0.13078546456610468,0.09053110821997079,0.0033538233890470924,,,,0.030361303524389517,
422,Landry2015_1,41,upper trapezius,0.08684636545731321,,0.04788483933011265,0.06441802693587963,0.10076398781537946,0.041496973301993416,,,0.054475146641890654,0.018026482516876913,0.012722483743112096,,,,0.04014830898688324,
423,Landry2015_1,42,anterior deltoid,0.27643288341781047,,0.2895470125267377,0.329325193916041,0.3865719331997638,0.036618604496416095,,,0.14928907489056115,0.09351287590136174,0.007501801325785175,,,,0.25692064472025006,
424,Landry2015_1,42,infraspinatus,0.047271921700918984,,0.03951246924031236,0.053423518267889006,0.043685959918315885,0.01455025921448895,,,0.026751674473080692,0.04974985849960812,0.002908241870985127,,,,0.04658601436743181,
425,Landry2015_1,42,lower trapezius,0.1675434885970167,,0.3376227059353246,0.17693824559331683,0.15261966749317546,0.12412758794276302,,,0.13839466580129825,0.13872126908121157,0.013727254190149933,,,,0.1396877186693933,
426,Landry2015_1,42,middle deltoid,0.2908037130236812,,0.21448123526292304,0.263247614728288,0.3115142416812268,0.3753714209547258,,,0.19099541128472206,0.1555300395000787,0.016356755572617912,,,,0.18515846554854212,
427,Landry2015_1,42,posterior deltoid,0.10908760210952814,,0.06342632377546084,0.1064474041775534,0.10510360599005471,0.341042324999699,,,0.06351258754470665,0.1784826656625237,0.1327488872165184,,,,0.05777539847554911,
